리뷰ID,리뷰,평점,평점등록일자,답변,답변등록일자
주야만세야,"좋아요. 너무 좋은데 수면측정을 해도 안됩니다. 저만안되는 걸까요? 밤새도록 마이크도 켜져있는것 같은데, 아무 데이터가 나오지 않습니다.",5,5/13/2024 7:21,,
캉네,아이폰 사용자입니다. 식단에서 상세수정들어가면 화면 바깥으로 튕기네요. 그것빼고는 앱은 잘쓰고있습니다,5,12/10/2023 7:21,,
Jang Phil Soo,아이폰 어플 업데이트 좀 해주세요. 구글 앱은 잘 작동하는 것 같은데요. 아이폰 앱은 정말 별로입니다. 삼성생명 상품을 가지고 있어서 추천받고 더헬스 앱을 깔았는데 챌린지에서 순위보기만 클릭하면 바로 먹통입니다. 이게 왜 수정이 안되는지는 모르겠습니다만 개발자분들이 얼른 버그 수정해주길 바랍니다.,2,11/14/2023 7:21,,
장미향 쩌러,"모션운동 해보니 만족스럽긴한데 공간의 활용성, 핸드폰의 활용도 등 사용자의 여건에 따른 제약이 상당부분 있어 간단하게는 하지 못하네요ㅠㅠ. 앱스토어에 있는 플랭크 앱처럼 모션감지 없이 강사님만 나와서 진행하는 등의 설정이 가능하다면 좋겠습니다",5,12/23/2023 0:00,,
최나니,"다 좋은데 권한요청 관련 앱 개선 요청 드립니다. 회사 보안 때문에 회사에 들어오면카메라 앱이 없어집니다. 그런데 카메라앱이 없어진다고 더헬스앱도 실행이 안되네요. 필수권한 여부에 상관없이 앱은 실행되어서 기록등을 확인할수 있으면 좋겠고, 카메라를 사용하는 상황(운동 시작)이 되었을때 필수권한 요청을 띄웠으면 합니다.",5,5/13/2024 7:21,,
로우난 트,"이런글 잘 안남기는데. 진짜 신세계에요 의지박약 운동극혐인 저를 운동하게 만들기도 했는데, 기술력에 감탄했어요… 역시 갓삼성 ㅠㅠ 모션운동도 식단도 그냥 다 신기해요.. 이런 앱 무료로 써도 되는지....만들어주셔서 감사합니다",5,5/13/2024 7:21,,
신여성k,운동 동기부여. 카운트 해 주어서 재밌고 좋은데 동기부여 될 수 있게 효과라던가 리워드 같은것들을 더 업데이트 해 주시면 좋을 것 같아요. 헬스 관련 다른 여러 데이터도 모아서 맞춤형으로 해 주시면 더더 좋을 것 같습니다.,5,8/4/2023 7:21,,
레인메이커요,가입하려는데 왜 인증문자 안보내주시나요? 수십번 시도하다 접습니다.,1,5/24/2023 0:00,,
thanatos35,"간편비번입력하라는 화면만 무한 반복입니다. 간편번호 맞게 입력했는데 다음으로 안넘어고 계속 비밀번호 입력하라는 화면만 떠요(틀리면 틀리다고 나오기 때문에 단순 번호 입력이 잘못되서 로그인이 안되는 상황은 아닙니다-실험해봄)


아이폰의 문제인가 싶어서 갤럭시에도 깔아봤는데 똑같구요. 앱재설치 폰재부팅 다 해봤는데 앱최신업데이트 완료임에도 불구하고 원래는 작동이 잘 되던게 안되니까 제 폰의 문제는 아닌거 같은데 빨리 해결좀 해주세요",1,6/13/2024 7:21,,
bbiinniii,굳굳 추천해요. 식사 기록 가능한게 너무 좋았어요. 식사 시간까지 체크할 수 있는 부분이 +요인이었습니다. 이 앱을 잘 활용하면 더 건강해질 수 있을 거 같아요.,5,8/6/2022 7:21,,
74ac22e5-cc35-40ae-b932-0cc9c3848d2e,3세 이상이라길래 깔았는데..14세 부터라네요,1,7/10/2024 7:21,"안녕하세요 더헬스 입니다.
더헬스 이용에 불편을 드려 죄송합니다.

스토어 등급은 플레이스토어에서 앱 콘텐츠와 목적에 따른 범위를 설정하는 부분이라, 더헬스 쪽에서는 통제할 수 없는 권한입니다. 실제 앱 내에서 14세 이상 사용이 가능한 부분은 앱 운영 프로세스상 본인 확인이 필요한 부분이라 불가피하게 설정된 부분이라 양해를 부탁드립니다. 감사합니다.",7/11/2024 6:22
b0a8a820-ee46-4c26-8314-703c18e626ea,간편 로그인 모르겠음 간편 로그인을 찾아봐도 정확히 잘 모르겠어요! 정답을 모르겠어요!,1,7/8/2024 14:28,"안녕하세요. 더헬스 입니다.
더헬스를 이용해 주셔서 감사합니다.
더헬스 간편로그인 비밀번호를 잊으신 경우
간편 비밀번호 입력 화면 중간에 위치한 ‘간편비밀번호를 잊으셨나요?’ 버튼을 클릭하시어
간편 비밀번호 재설정을 진행하시길 바랍니다.
감사합니다.",7/5/2024 5:32
